org_id,gene_id,stage,delivery_method,target_organism,price_usd,year_started,regulatory_status,peer_reviewed,trial_id,evidence_summary,notes,source_url
unlimited_bio,fst344,phase_1_2,AAV,human,,2026,registered_trial,false,,Combined VEGF + follistatin trial planned Jan 2026; 12-15 volunteers; data readout Apr 2026,Distinct from Minicircle's non-viral approach — uses AAV vector for follistatin,https://www.pharmaceutical-technology.com/features/in-a-honduran-city-biotechs-create-gene-therapy-cocktails-to-fight-ageing/
unlimited_bio,vegf_therapy,commercial,plasmid_intramuscular,human,25000,2024,Prospera ZEDE (light regulation),false,,Commercial Prospera offering based on Neovasculgen-like VEGF construct; safety signal in known circles appears benign so far; efficacy for enhancement claims not independently validated.,Russian VEGF monotherapy approved 2011 for limb ischemia (~10k patients); Unlimited Bio uses a similar construct in Prospera ZEDE under light special-zone regulation (not unregulated / not FDA). Known practitioner circles report no serious side effects; enhancement efficacy remains unproven in peer-reviewed independent studies.,https://www.technologyreview.com/2025/12/22/1130288/gene-therapies-muscle-growth-erectile-dysfunction-radical-longevity/
van_doninck_lab,avlige_rotifer,preclinical,heterologous expression (human cell lines),Adineta vaga,,2023,academic,true,,Heterologous LigE expression in human cells significantly improved radiation tolerance. Confirmed as major DNA repair contributor in irradiated rotifers.,,https://doi.org/10.1038/s41467-023-43075-8
van_doninck_lab,pvlil_rotifer,preclinical,heterologous expression,Adineta vaga,,2023,academic,true,,Established A. vaga as model for eukaryotic extremophile research including LEA-like desiccation tolerance proteins.,,https://doi.org/10.1038/s41467-023-43075-8
verve_therapeutics,pcsk9_edit,phase_1,base_editing_LNP,human,,2022,fda_ind,true,,VERVE-102 base editing in humans; safety confirmed; Phase 2 ongoing; acquired by Eli Lilly,First in-vivo base editing therapy in humans; peer-reviewed NHP data (2021 Nature),https://doi.org/10.1038/s41586-021-03534-y
verve_therapeutics_inc,angptl3_base_edit,phase_1b,"GalNAc-lipid nanoparticle, single intravenous infusion",,,,"investigational; open-label single-ascending-dose Phase 1b, primary endpoint TEAEs/SAEs to Day 365",true,NCT06451770,"Registry record confirms VERVE-201 'uses base-editing technology designed to inactivate the expression of the ANGPTL3 gene in the liver'; secondary endpoints include percent change from baseline in serum ANGPTL3, LDL-C and triglycerides. Preclinical NHP support in Kasiewicz 2023 (5%->61% liver editing, 89% protein reduction at 6 months).","Stage as reported: Phase 1b, recruiting.",https://clinicaltrials.gov/study/NCT06451770
walters_laboratory_university_of_rochester_m,atoh1_gfi1_pou4f3_haircell,preclinical,,,,,,true,,479.9 ± 213.4 regenerated lineage-traced hair cells vs 2.8 ± 6.2 in controls.,Stage as reported: preclinical mouse.,https://doi.org/10.1093/pnasnexus/pgae445
wang_linfa_lab,asc2_bat,preclinical,transgenic expression (mouse),Pteropus alecto,,2023,academic,true,,"Transgenic mice with bat ASC2 showed reduced gout inflammation, dampened viral inflammation, reduced influenza mortality, and suppressed SARS-CoV-2 inflammasome activation.",,https://doi.org/10.1016/j.cell.2023.03.036
xinjiang_institute_of_ecology_and_geography_,scaldh21_moss,pilot,,,,,,true,,Yang 2015 Plant Physiol Biochem; Yang 2016 Mol Breeding; Yang 2023 Int J Mol Sci,Stage as reported: field trial (transgenic crop).,https://doi.org/10.1007/s11032-015-0422-2
yang_lab_stanford,s100a10_deer,preclinical,cell transplantation,Dama dama,,2023,academic,true,,Antler progenitor cells implanted in mice accelerated bone fracture healing. S100A10 among most differentially expressed genes in antler growth zones.,,https://doi.org/10.1126/science.adf7580
yang_lab_stanford,uhrf1_deer,preclinical,cell transplantation,Dama dama,,2023,academic,true,,UHRF1 among top upregulated genes in antler blastema maintaining epigenetic stability during explosive bone growth.,,https://doi.org/10.1126/science.adf7580
zakon_lab,epg_catfish,preclinical,,Apteronotus leptorhynchus,,2018,academic,true,,Discovered sodium channel gene duplication and cis-regulatory changes driving electric organ evolution. Nav1.4a (scn4aa) is the key electrocyte channel.,,https://doi.org/10.1371/journal.pbio.2004892
zhang_yz_sdu,tmat_tmm_myroides,preclinical,,Myroides profundi,,2022,academic,true,,Characterized TMA monooxygenase system from deep-sea Myroides profundi and its role in TMAO osmolyte production.,,https://doi.org/10.1038/s41564-022-01065-w
