gene_id,Gene,Category,Subcategory,Narrative,Short Description,Mechanism,Achievements (effect sizes),Highest Evidence Tier,Confidence,Translational Gaps,Key References (DOIs),"Notes (limitations, contradictions, caveats)",Secondary Categories
afp_fish,AFPs / AFGPs,Stress Resistance,Antifreeze,"Arctic fish don't freeze because they're full of proteins that grab microscopic ice crystals the moment they form and glue themselves onto the crystal faces, stopping growth. The translational question is whether these molecules can do the same for mammalian tissue. The answer, so far, is a qualified yes. Adding 20 mg/mL of Type III antifreeze protein to standard mouse-ovary vitrification media raised intact follicle recovery from 28.9% to 44.7% — a big effect for cryobiology, where incremental gains are normal. AFPs have been used in clinical IVF oocyte freezing for years. Korkut Uygun's team at Harvard pushed the concept further, supercooling human donor livers to −4°C with AFPs and extending viable ex-vivo time by about 27 hours. The next step — actually transplanting a supercooled human liver — is imminent, not hypothetical. Chronic-exposure immunogenicity remains unresolved, and more AFP isn't always better: at high doses you can cause ice-needle damage.","Antifreeze proteins from polar fish stick to tiny ice crystals and slow their growth, which is useful for preserving cells and organs. They are promising for cryobiology, but chronic use in living bodies is unproven and too much can damage tissue.",Non-colligative freezing-point depression via ice-face binding; thermal hysteresis; ice-recrystallization inhibition; membrane/ion-channel stabilization.,"Transgenic salmon (Hew 1991–99): stable Mendelian inheritance, seasonal AFP in serum but levels insufficient for seawater freeze-avoidance. Tobacco Type-I AFP (Kenward 1993): protein accumulated; Type-II AFP gave NO frost resistance despite 2% apoplast protein. Drosophila+beetle AFPs enhanced cold survival. Bagis 2006/2008: Type-III AFP-Tg mice, F7 germline; cryopreserved ovaries/testes retained function; live offspring after orthotopic ovary transplant. 20 mg/mL AFP in mouse ovary vitrification media: 44.7% intact follicle ratio vs 28.9% control (Lee 2015, PLoS ONE). Amir/Rubinsky 2004: AFPs in −1.3 °C 21-h rat heart preservation. AFPs in IVF oocyte vitrification (clinical-grade). Toner/Uygun/Tessier: supercooled human livers to −4 °C extended ex-vivo viability ~3× (+27 h); 2022–2024 partial-freezing 10-day rat liver storage at −10 to −15 °C.","T6 (human ex-vivo organs, IVF cells) + T5 (Tg mice with functional tissue cryopreservation)",Medium-High (cryopreservation); Low-Medium (frost-tolerance crops); Low (lifespan direct),Supercooled human livers not yet transplanted; immunogenicity under chronic exposure.,Bagis Mol Reprod Dev 2006 https://doi.org/10.1002/mrd.20566 | Lee PLoS ONE 2015 (AFP ovary cryo) https://doi.org/10.1371/journal.pone.0126252 | de Vries Nat Biotechnol 2019 (supercooled liver) https://doi.org/10.1038/s41587-019-0223-y,Dose-response non-monotonic (ice-needle damage at higher concentration); Tg frost tolerance inconsistent. Kenward 1999 tobacco Type-II — no frost protection despite high expression. AquaBounty salmon uses growth hormone not AFP for phenotype.,
clock_bmal1_dolphin,CLOCK + BMAL1 (cetacean variants),Environmental Adaptation,Polyphasic Sleep,"Dolphins sleep with half their brain at a time — one hemisphere stays awake, so they never stop swimming or breathing. The molecular question is whether this is hardwired into the genes of their circadian clock. Yin et al. in 2025 took the cetacean-specific amino-acid changes and dropped them into zebrafish Clock and Bmal1 proteins, then bred transgenic larvae: the mutant fish slept significantly less, stayed alert longer, and upregulated wake-promoting glutamate signaling while downregulating the sleep-promoting GABA and acetylcholine networks. That's a real result — a cell-autonomous piece of the sleep rewiring — but it's also a toe in the water, not a leg. The actual dolphin genes have never been knocked into a mammal. Zebrafish don't have unihemispheric sleep, and hemispheric asymmetry is almost certainly a brain-network property, not something you can install in a cell culture. The clock mutations look like one ingredient in a much larger recipe.","Dolphin-like clock-gene changes can make zebrafish larvae sleep less and stay more wakeful in experiments. That is a real hint about sleep biology, but dolphin half-brain sleep is a brain-network feat, not something a single gene can install.",bHLH-PAS circadian transcription factors; cetacean-specific substitutions alter nuclear localization and TF activation.,"Yin 2025 PLOS Genet: cetacean-specific substitutions introduced into ZEBRAFISH Clocka/Bmal1a backbone. Luciferase per1b promoter reporter: Clocka-mut and Bmal1a-mut significantly enhanced transactivation. Nuclear localization increased; Co-IP showed stronger heterodimer (p=0.0184). Zebrafish larvae overexpressing mutants (n=40–46) had significantly reduced sleep, shorter bouts, more wake bouts (p<0.0001). Transcriptome: ↑glutamatergic wakefulness genes; ↓GABAergic/cholinergic sleep genes.",T3 (zebrafish whole-organism),Medium-Low,Mouse knock-in; EEG/hemispheric resolution study; unihemispheric sleep is not a cell-autonomous phenotype.,Yin PLoS Genet 2025 https://doi.org/10.1371/journal.pgen.1011598,"NOT the actual dolphin gene — mutations introduced on zebrafish backbone at homologous positions; zebrafish don't exhibit USWS; no mammalian validation. Same group's Bai 2024 SLEEP: BMAL2 (not BMAL1) K204E/K346Q enhances PER2 activation in zebrafish — three different clock genes (CLOCK, BMAL1, BMAL2) all claimed to adapt, overlapping claims unresolved. USWS is widely viewed as network/neuroanatomical, not cell-autonomous.",
prestin_echo,Prestin / SLC26A5,Perception,Echolocation Hearing,"Bats and dolphins both hear well into the ultrasonic range — frequencies far above anything a human or mouse can detect — and they evolved this ability independently. The molecular centerpiece is prestin, a motor protein in cochlear hair cells that physically contracts in response to voltage, amplifying faint sounds. Echolocating bats and dolphins carry the exact same amino-acid substitutions in prestin, a textbook example of convergent molecular evolution, and those substitutions change the protein's electrical properties when measured in human HEK293 cells. This is where the press ran ahead of the data. Yalin Li's lab showed in 2022 that prestin-knockout mice still hear above 40 kHz — prestin amplifies loudness but doesn't determine frequency range. Tian 2021 found that prestin's electrical parameters don't actually correlate with how high an animal can hear. Nobody has yet put bat prestin into a mouse and extended its hearing. The convergent evolution is beautiful; the functional story is shakier than it first looked.","Prestin is the motor protein that helps inner-ear cells amplify sound, and echolocating bats and dolphins carry strikingly similar versions of it. The protein changes are measurable in cells, but nobody has used them to give a mammal ultrasonic hearing.","Outer hair cell voltage-driven piezoelectric motor protein; non-linear capacitance (NLC) parameters Qmax/Clin, V½, 1/α.","Liu 2014 MBE: 7 species' prestins in HEK293, whole-cell NLC. 1/α significantly increased in all echolocators (N7T attributed); V½ depolarized in dolphin and Stoliczka's trident bat (I384T attributed). Bavi/Santos-Sacchi 2021–2023 dolphin prestin HEK293: V½ −61 mV, 1/α 37 mV; visible electromotility. No knock-in mouse carrying bat/dolphin prestin has been published. Prestin-KO mice: ~50 dB threshold elevation high-freq; Cheatham 2012 V499G/Y501H KI: ~34% residual charge, defective high-freq amplification.","T3 (HEK293 NLC, multiple labs)",Medium (biophysics); DECLINING confidence on ultrasonic-hearing link,No bat/dolphin prestin-KI mouse gain-of-function; mouse hearing range not extended.,Liu Curr Biol 2010 https://doi.org/10.1016/j.cub.2009.11.058 | Liu MBE 2014 https://doi.org/10.1093/molbev/msu157,"CONTRADICTIONS: (1) Li 2022 Neurosci Bull — prestin-KO mice RETAIN >40 kHz hearing — prestin amplifies amplitude, is NOT the ultrasonic selectivity determinant. (2) Tian 2021 Front Cell Dev Biol — NLC parameters DO NOT correlate with species Fmax — direct challenge to the ""prestin drives ultrasonic hearing"" narrative. (3) Shen 2012 — Pteronotus CF bat lacks rhinolophid adaptive signature — convergence incomplete. HEK293 ≠ cochlear micromechanics; Qmax depends on expression; site-direction on common backbone ≠ full-length.",
trpa1_viper,TRPA1 (pit viper variant),Perception,Infrared Sensing,"Pit vipers have a pair of pits on their snouts that work as biological infrared cameras, sensing prey by heat in total darkness. The molecular sensor is a TRPA1 ion channel — the same protein that, in humans, makes wasabi and mustard oil feel hot. Viper TRPA1, expressed in HEK293 cells or frog eggs, opens at around 28°C with an astonishingly steep response — a Q10 of 13.7, making it one of the most temperature-sensitive channels ever measured. The channel's heat-detection module is surprisingly portable; swap the ankyrin-repeat region between snake species and you swap the thermal threshold. Here is the oddity: despite fifteen years of knowing all this, no one has made an infrared-sensing mouse. The channel works in isolation, but a pit organ is an elaborate piece of anatomy — thermally isolated, precisely innervated. You can't just drop the gene into a mammal and expect thermal vision. Vampire bats, incidentally, do similar detection using TRPV1.","Pit-viper TRPA1 is a heat-sensitive channel that can detect warm prey through infrared-like thermal cues. The channel works in lab cells, but true heat vision also needs the specialized pit organ anatomy that mammals do not have.",Non-selective cation channel; in pit snakes massively enriched (~400×) in trigeminal neurons; heat-activated at ~28 °C (vs mammalian TRPA1 = cold/chemical-activated).,"Gracheva 2010 Nature: rattlesnake TRPA1 in HEK293 + Xenopus oocytes: thermal threshold ~27.6–28 °C (rattlesnake), ~29.6 °C (boa), ~32.7 °C (python), ~37–38 °C (rat snake non-pit). Q10 = 13.7 (extreme temperature coefficient). Reduced AITC sensitivity in pit-snake orthologs. Cordero-Morales 2011 PNAS: heat sensitivity mapped to N-terminal ankyrin repeats; portable heat modules. Geng 2020 eLife: single residue controls Ca2+-mediated hyperthermosensitivity. Gracheva 2011: vampire bats use TRPV1 splice variant, not TRPA1 — convergent IR detection.",T3 (HEK293 + Xenopus oocytes),High (channel biophysics); Medium (full behavioral IR mapping),"No ""IR-sensing mouse"" ever created despite 15+ years; pit-organ anatomy (thermal isolation) is prerequisite; no native-protein mammalian-neuron gain-of-function.",Gracheva Nature 2010 https://doi.org/10.1038/nature08943 | Cordero-Morales PNAS 2011 https://doi.org/10.1073/pnas.1018513108 | Gracheva Nature 2011 (vampire bat TRPV1) https://doi.org/10.1038/nature10245,"Thresholds vary by assay (Kang 2016 reports 26.3/23.3 °C — even lower); rattlesnake TG cell bodies respond 15–40 °C (Pappas 2004), broader than channel alone predicts. Drosophila TRPA1 also heat-activated — mammalian cold/chemical state may be derived.",
cry4a_robin,CRY4a,Perception,Magnetoreception,"Migratory birds find their way by sensing Earth's magnetic field through their eyes. The leading candidate for the magnetic sensor is CRY4a, a cryptochrome protein in retinal photoreceptors that generates short-lived radical pairs when blue light hits it, and those radical pairs respond weakly to magnetic fields. A 2021 Oxford-Oldenburg collaboration purified the European robin's CRY4a, recreated the radical pairs in a cuvette, and showed they were more magnetically sensitive than the chicken or pigeon versions — quantum biology you can measure in a test tube. The physics is gorgeous; the in vivo translation is shaky. Leberecht 2023 pointed out that mammalian cells contain FAD (the cofactor CRY needs) at nanomolar levels — orders of magnitude below what the radical-pair mechanism seems to require. A mammalian magnetic compass through CRY4 looks biochemically implausible. Pigeons also have magnetically sensitive CRY4 and aren't night-migrants, so the molecule alone isn't sufficient even in birds.","Robin CRY4a is a light-sensitive protein that may help migratory birds sense Earths magnetic field through quantum-scale chemistry. The purified protein is magnetically responsive in the lab, but recreating a compass in mammalian cells looks biochemically difficult.",Cryptochrome 4a (527 aa); FAD-based radical-pair magnetoreception via Trp-tetrad electron transfer (W395/W372/W318/W369); singlet/triplet interconversion modulated by geomagnetic field.,Xu/Hore/Mouritsen 2021 Nature: purified recombinant ErCry4 (from E. coli) — photoinduced FAD/Trp radical pairs by transient absorption spectroscopy; magnetic field effects LARGER than chicken/pigeon CRY4 orthologs under identical conditions; Trp-tetrad mutants progressively abolish cascade. Effect sizes few-percent MFE at fields ABOVE geomagnetic. Retinal localization in outer segments of double-cone / LW single-cone; seasonal upregulation (correlative). Bartölke 2024: ErCry4a associates with ordered lipid bilayers.,T2 (in vitro biochem) + T1 correlative,Medium (biochem); Low (in vivo function),No Tg mouse/fly/fish confers magnetoreception via CRY4.,Xu Nature 2021 https://doi.org/10.1038/s41586-021-03618-9 | Hochstoeger Sci Adv 2020 (pigeon CRY4) https://doi.org/10.1126/sciadv.abb9110,"MFEs at supra-geomagnetic fields; radical-pair lifetime in vivo may be too short; no transduction partners identified. Pigeon CRY4 (Hochstoeger 2020) also magnetically sensitive yet pigeons are not night-migratory. BIOCHEMICAL IMPLAUSIBILITY for mammals: Leberecht 2023 Front Physiol — mammalian FAD concentrations are NANOMOLAR, far below µM required to saturate Type-II CRYs → a mammalian radical-pair compass is biochemically implausible. Alternative magnetite-based trigeminal compass (Zapka 2009). MagR alternative (Qin 2016) unreplicated.",
tapetum,Tapetum lucidum,Perception,Night Vision,"Cats see in near-darkness because they have a biological mirror — the tapetum lucidum — behind their retina. Unabsorbed photons bounce back through the photoreceptor layer for a second chance at being detected, roughly doubling light capture. It's also why cat eyes glow in headlights. The structure is made of riboflavin and zinc-cysteine crystals stacked at nanometer precision to act as a Bragg reflector. Cat psychophysics puts the sensitivity gain at about six-fold. Now the bad news for enhancement biology: the tapetum is not a gene. It's a multicellular, multilayer tissue that requires specialized choroidal cells, coordinated vitamin-B2 and zinc metabolism, and crystalline spacing below the wavelength of light. No one has ever engineered a transgenic mammal with a functional tapetum, and the roadmap for doing so doesn't meaningfully exist. Primates lost tapeta long ago in favor of deep retinal pigment. Cat-vision for humans is a category error, not a missing gene.","The cat tapetum is a mirror-like eye layer that bounces dim light back through the retina for a second chance at detection. It is an engineered tissue architecture rather than a single gene, so cat-style night vision is not a straightforward genetic add-on.",Cellular choroidal retroreflector of riboflavin + Zn-Cys crystalline rodlets in multilayer stacks; Bragg-reflector optics; NOT a single gene.,"Cat psychophysics: tapetum lowers absolute visual threshold ~6×. Diagnostic reflectivity marker for retinal thinning in feline PRA (rdAc/CEP290, Rdy/CRX). Artificial vision system inspired by cat tapetum (Gur 2024 ACS Nano): slit-like elliptical apertures + metal reflectors to filter redundant information, detect camouflaged objects in dim environments. NO transgenic mammal has ever been engineered to express a functional tapetum.",T1 only (source-organism descriptive anatomy/optics),High (native function); N/A (engineering never attempted),Gene-level target not defined; no organoid/reconstitution; primates lack tapetum entirely (deep RPE pigment instead).,Ollivier Vet Ophthalmol 2004 https://doi.org/10.1111/j.1463-5224.2004.04011.x,"Engineering is a CATEGORY ERROR: structural, not biochemical, problem. Multicellular, multilayer, requires specialized choroidal cell lineage, coordinated riboflavin/Zn/Cys metabolism, nanoscale spacing; tradeoff: reduced acuity.",
reflectin,Reflectin + chromatophore system,Expression,Camouflage,"Cuttlefish and octopuses change color in milliseconds by telling reflectin proteins inside special skin cells to reorganize. Reflectin is weirdly rich in methionine and arginine and self-assembles into stacked layers that act as tunable mirrors. In 2020, Alon Gorodetsky's group at UC Irvine stably expressed squid reflectin in human HEK293T cells; the protein condensed into intracellular nanoparticles, and when researchers changed the salt concentration outside the cells, the reflectin condensates reversibly swelled and shrank, modulating how the cells scattered light. Media outlets called it 'invisible human cells,' which overstates a genuinely cool result: what changed was the cells' refractive index by a few percent, not their transparency to the naked eye. Cephalopod skin also needs chromatophore organs — pigmented sacs under fine neural control — that simply don't exist in mammals. Reflectin, by itself, is a promising biomaterial with medical-imaging potential; adaptive camouflage for humans is not in the cards.","Cephalopod reflectins can reorganize to change how cells scatter light, helping squid and cuttlefish tune their shimmering skin. Human-cell experiments show controllable optical changes, but real camouflage would also require specialized skin organs and neural control.",Reflectins (~20–60% Met/Tyr/Arg) self-assemble into membrane-bound lamellar Bragg stacks; phosphorylation-controlled hydration tunes reflectance.,"Kramer 2007 Nat Mater: recombinant squid reflectin in E. coli forms films/gratings/fibers; ammonia/acid triggers visible spectrum shifts. Chatterjee 2020 Nat Commun: stable HEK293T lines expressing D. opalescens reflectin A1 — condensed into intracellular nanoparticles; quantitative phase microscopy showed leucophore-like contrast; NaCl osmotic challenge REVERSIBLY modulated light scattering (refractive index n≈1.4 vs cytoplasm 1.33–1.38); tens of percent transmittance changes across visible/NIR. Gorodetsky lab reflectin-coated films: tens of percent reversible IR reflectance with stretch — MATERIALS, not tissue.",T6 (HEK293T in vitro) + T3 (E. coli films),Medium-High (narrow claim); Low (mammalian camouflage translation),No in-vivo mammal; no tissue-level camouflage; requires innervated chromatophores in native animal.,Kramer Nat Mater 2007 https://doi.org/10.1038/nmat1930 | Chatterjee Nat Commun 2020 https://doi.org/10.1038/s41467-019-08891-x,"Press framing (""invisible human cells"") OVERSTATES result: effect is refractive-index modulation only, not perceptible transparency. Structural biology of reflectin contested (IDP, no crystal structure). No mouse/zebrafish demonstration.",
gfp,GFP,Expression,Fluorescence,"Green fluorescent protein was isolated from crystal jellyfish in 1962 by Osamu Shimomura, cloned in 1992, demonstrated as a reporter gene by Martin Chalfie in 1994, and used to light up creatures from E. coli to marmosets. It won the 2008 Nobel Prize and rewrote experimental biology — you can now watch a specific gene turn on, a single protein move, or a tumor grow, just by attaching GFP and shining blue light. The protein needs no substrate, no cofactor, nothing except oxygen to fold itself into its own chromophore. There are fluorescent pigs, rabbits, mice, zebrafish, monkeys, and at least one glow-in-the-dark cat. The honest caveat is that GFP is emphatically a laboratory reporter, not a therapeutic. Its green emission barely penetrates tissue; it's mildly immunogenic in humans, which is why adoptive cell therapies quietly dropped it. Human clinical imaging long ago moved to PET tracers that see through the whole body.","GFP is the jellyfish protein that made living cells glow green and transformed biology as a lab tool. It works beautifully as a reporter across many organisms, but visible fluorescence does not penetrate human tissue well and is not a therapy.",238-aa 11-β-strand barrel; autocatalytic S65-Y66-G67 chromophore; requires only O2 (no cofactor/substrate).,"Universal reporter across E. coli, yeast, plants, C. elegans, Drosophila (Chalfie 1994 Science); zebrafish; Tg mice (Okabe 1997 ""green mice"" CAG-EGFP ubiquitous); Tg pigs (Hwang/Lai 2006); Tg marmoset with germline transmission (Sasaki 2009 Nature); Tg cats (Wongsrikeao 2011 Nat Methods, co-expressed with TRIMCyp, FIV-resistant); routine in every human cell line. EGFP ε~56,000 M−1cm−1, QY 0.6, single-cell detection. c3GFP photostable mutant (2020) permits STED super-resolution.",T6 (human cells routinely); T5 across multiple mammalian species; T7 ex-vivo only (not approved in vivo in humans),Very High (technical),"Clinical in-vivo reporter role ceded to HSV1-TK ([18F]FHBG PET), NIS, PSMA, eDHFR/DYR-TMP.",Chalfie Science 1994 https://doi.org/10.1126/science.8303295 | Okabe FEBS Lett 1997 https://doi.org/10.1016/S0014-5793(97)00313-X | Sasaki Nature 2009 https://doi.org/10.1038/nature08090,"Reporter, not enhancement; green emission doesn't penetrate tissue; O2-dependent maturation; photobleaching; mildly immunogenic in humans — cleared from adoptive-cell therapies. Human clinical imaging uses PET reporters, not GFP.",
fluc,Firefly luciferase + luciferin,Expression,Bioluminescence,"A firefly lights up by burning a tiny molecule called luciferin. The enzyme luciferase is astonishingly efficient — about 41% of the chemical energy becomes visible photons, a quantum yield that human engineering cannot match. Put luciferase into a mouse tumor, inject luciferin, and you can count cancer cells through living tissue. Enhanced versions can track as few as three adoptively transferred T-cells. For decades it was the workhorse of biomedical imaging. The frontier now is autonomous bioluminescence — getting mammals to make their own luciferin so they glow without injections. Autonomous plants already exist (a 2020 fungal-pathway tobacco produces visible light on its own, ~10⁸ photons per second per plant), but mammals lack a key precursor. The dream of glowing tattoos or bioluminescent skin runs aground on the same problem that made GFP a lab tool and not a therapy: tissue absorbs visible light. A glowing human would glow, pharmacologically speaking, only skin-deep.","Firefly luciferase makes light by burning luciferin, letting researchers watch cells inside living animals after giving the substrate. It is powerful for imaging, but a self-glowing mammal still faces the hard limits of fuel supply and light blocked by tissue.",ATP+Mg+O2-dependent oxidation of D-luciferin → ~560 nm photon (QY ≈ 0.41).,"de Wet 1987: firefly luc in mammalian cells. Ow 1986 Science: first glowing tobacco (exogenous luciferin spray). Tg luc+ mice are a staple — IVIS imaging after 150 mg/kg IP D-luciferin; detect tumors from ~1,000 cells. Rabinovich 2008 PNAS: enhanced firefly luciferase (effLuc) expressed in mouse T-cells enabled bioluminescent tracking of as few as 3 individual cells in adoptive immunotherapy models. Close 2010/2018 PNAS: autonomous bacterial luxCDABEfrp in HEK293 cells — 12× background, visible at 25,000 cells with 10-min integration. Mitiouchkina 2020 Nat Biotechnol: fungal nnluz + hispS/h3h/npgA gene cluster from Neonothopanus nambi in tobacco → autonomous visible bioluminescence ~10^8–10^9 photons/s per plant (endogenous caffeic acid → luciferin).","T6 (human cells substrate-dep); T5 (mice, luciferin-dep); T3 (autonomous in plants); NOT fully autonomous in peer-reviewed mammals yet",Very High (luciferin-dep); High (autonomous plants); Low-Medium (autonomous mammals),In-human clinical imaging ceded to PET reporters; autonomous mammal germline line not peer-reviewed.,de Wet Mol Cell Biol 1987 https://doi.org/10.1128/mcb.7.2.725-737.1987 | Ow Science 1986 https://doi.org/10.1126/science.234.4778.856 | Rabinovich PNAS 2008 https://doi.org/10.1073/pnas.0804105105 | Mitiouchkina Nat Biotechnol 2020 https://doi.org/10.1038/s41587-020-0500-9,Classical system requires substrate injection; mammalian caffeic acid scarce → low autonomous flux; tissue absorption; ATP-coupled signal. Bacterial lux vs fungal luz debate — codon-optimized lux may outperform fungal in mammals lacking caffeic acid.,
scn4aa,scn4aa (Nav1.4a paralog),Environmental Adaptation,Bioelectrogenesis,"The electric eel generates 860 volts by stacking thousands of modified muscle cells — electrocytes — that discharge in unison. The molecular machinery is a teleost-specific duplicate of the muscle sodium channel, scn4aa, which lost its original job in muscle and was repurposed to fire on demand inside the electric organ. It's a beautiful case of evolutionary tinkering. In 2018, Harold Zakon's group took five amino-acid changes from an Apteronotus knifefish and engineered them into a human cardiac sodium channel expressed in frog eggs. The resulting human channel generated a large, physiologically relevant persistent sodium current without needing the usual accessory proteins. But the 860-volt discharge isn't a protein — it's an anatomical design, the electrical equivalent of batteries wired in series across five thousand cells. No mammalian cell or mouse makes its own electricity. The hydrogel 'artificial electric organs' that periodically make the press are pure materials science: zero genes, 110 volts, impressive engineering, no biology.","Electric fish repurposed sodium-channel genes like scn4aa as part of organs that fire thousands of cells in series. The channel biology is fascinating, but the impressive voltage comes from anatomy, not from one protein acting alone.","Teleost-WGD Nav paralog; lost muscle expression, compartmentalized to electrocytes; positively selected substitutions in inactivation gate / S4–S5 linker; electric organ voltage arises from STACKED series of electrocytes firing via Nav channels.","Zakon 2006 PNAS: convergent muscle-expression loss + positive selection. Gallant 2014 Science: eel genome + muscle-vs-EO transcriptomics. Traeger 2015 BMC Genomics: Nav isoform quantification. Thompson 2018 PLoS Biol: Apteronotid 5-residue D4 S4–S5 linker substitutions engineered into HUMAN hNav1.5 backbone, expressed in Xenopus oocytes → large persistent Na+ current (INaP) gain-of-function, independent of auxiliary beta-subunits. Native eel protein was NOT expressed in mammalian cells. Whole-animal E. voltai >860 V is ANATOMICAL (stacked electrocytes). Schroeder 2017 Nature ""artificial electric organ"" is hydrogel (110 V, ~27 mW/m2), zero genetic content.",T2–T3 (Xenopus oocyte on human backbone),Medium-High (mechanistic); Low (any enhancement translation),No mammalian cell/mouse bioelectrogenesis; electrocyte developmental program un-transferred.,Zakon PNAS 2006 https://doi.org/10.1073/pnas.0600160103 | Thompson PLoS Biol 2018 https://doi.org/10.1371/journal.pbio.2004892 | Schroeder Nature 2017 https://doi.org/10.1038/nature24670,"Voltage = MULTICELLULAR ARCHITECTURE, not single gene. Channel identity is actually scn4ab1 in Apteronotids (not scn4aa) — complicating ""universal electric-organ gene"" narrative. Apteronotids retain muscle scn4aa. Artificial organs (Schroeder 2017) sidestep biology entirely.",
cbp_gecko,CBP (β-keratin) family,Expression,Adhesion,"A gecko can hang from a glass ceiling by a single toe because its foot-pads are covered in millions of microscopic hairs — setae — each tipped with even finer spatulas. The contact area gets so large that van der Waals forces alone are enough. No glue, no suction. The 2015 Gekko japonicus genome revealed a family of about 72 beta-keratin genes that make these setae, with bursts of duplication around 100 and 85 million years ago — matching the evolutionary origins of gecko adhesion. A single seta generates 20 to 40 micronewtons of force, and a whole foot can hold 40 times the animal's body weight. Synthetic gecko-inspired tapes, from polymer microfibers to carbon-nanotube arrays, already work reasonably well. But expressing gecko beta-keratins in mammalian cells to grow actual setae is a non-starter: the adhesion depends on a hierarchical anatomy — cells, pillars, hairs, spatulas — built by a developmental program, not on the protein sequence itself.","Gecko beta-keratin proteins help build the microscopic hairs that let gecko feet stick by van der Waals forces. The stickiness comes from a precise hierarchy of skin structures, so expressing the protein alone would not grow a gecko toe pad.",Large multigene family (~71–72 CBPs); polymerize into ~3–4 nm β-sheet filaments in oberhautchen/beta-layer cells → setae → spatular tips (~200–500 nm); adhesion is PURELY van der Waals.,"Liu 2015 Nat Commun: G. japonicus genome (2.55 Gb); 72 CBP genes mapped to setae; phylogenetic expansions ~105–96 Mya and ~87–80 Mya. Alibardi IHC: Ge-cprp-9 in setae/spatular tips. Autumn 2000 Nature: single seta 20–40 μN; whole foot holds ~40× body weight. Autumn 2002 PNAS: van der Waals confirmed on polar + nonpolar surfaces; synthetic PDMS/polyester spatulae reproduce adhesion. ZERO heterologous CBP transfer producing functional setae. Gecko tape (Geim 2003 Nat Mater) + CNT gecko tapes (Qu 2008 Science) are SYNTHETIC — no protein, no gene.",T1 (source organism) + T2 (protein biochem),High (source biology); High that gene transfer won't produce setae (morphogenetic barrier),"Gene transfer essentially a category error — adhesion requires hierarchical nanoarchitecture from developmental program, not compositional.",Autumn Nature 2000 https://doi.org/10.1038/35015073 | Autumn PNAS 2002 https://doi.org/10.1073/pnas.192252799 | Liu Nat Commun 2015 https://doi.org/10.1038/ncomms10033 | Geim Nat Mater 2003 https://doi.org/10.1038/nmat917,Setae also contain lipids + α-keratins. CBP count disputed (26 vs 72 annotations) — underannotated repetitive family. Adhesion requires hierarchical nanoarchitecture from developmental program — not compositional.,
fst344,Follistatin (FST-344),Regeneration,Muscle Enhancement,"Your muscles are locked in a tug-of-war between growth signals and a powerful brake called myostatin. Follistatin is nature's way of releasing that brake — it binds myostatin and neutralises it, unleashing muscle growth that is otherwise tightly suppressed. In 2009, Haidet and Bhatt at Nationwide Children's Hospital showed that a single intramuscular injection of AAV1-follistatin-344 increased muscle mass and grip strength in both normal and dystrophic mice, with quadriceps weight rising over 100% in some cohorts. In 2015, Mendell's group ran the first human trial: six boys with Becker muscular dystrophy received bilateral AAV1-FS344 injections into the quadriceps. The six-minute walk test improved by a mean of 58 metres at 24 months, with no serious adverse events and no detectable anti-myostatin antibodies. A 2017 follow-up in inclusion body myositis patients showed similar safety and modest functional benefit. The catch: follistatin also binds activins and other TGF-beta family members, meaning its effects are not muscle-specific — it influences reproductive hormones, inflammation, and fibrosis in ways that are hard to predict long-term.","Follistatin-344 neutralises the muscle-growth brake myostatin. AAV gene therapy trials in muscular dystrophy patients showed safety and modest functional improvement, but follistatin's broad activity across TGF-beta family members makes long-term effects unpredictable.","Follistatin: 344-aa secreted glycoprotein; binds and neutralises myostatin (GDF-8), activin A/B, and GDF-11 with high affinity; blocks SMAD2/3 signalling through ActRIIB; relieves transcriptional repression of myogenic genes → satellite cell activation, myofiber hypertrophy.","Haidet 2009 (AAV1-FS344 mouse): quadriceps mass +100% vs controls; grip strength +60% in mdx mice. Mendell 2015 (human phase I/IIa, n=6 Becker MD): 6-min walk +58 m at 24 months (3/6 patients improved >50 m); no SAEs; anti-AAV1 Abs present but no anti-myostatin Abs. Mendell 2017 (IBM, n=6): safe; 2/6 improved on 6MWT. Kota 2009 (AAV8-FS315 mouse): muscle mass +73%, specific force +12%.",T5,Medium-High,Systemic delivery for whole-body effect; long-term reproductive/endocrine effects of activin blockade; phase III efficacy trials pending; dose–response in healthy muscle vs dystrophic; potential bone density effects.,Haidet Proc Natl Acad Sci 2009 https://doi.org/10.1073/pnas.0709144104 | Mendell Mol Ther 2015 https://doi.org/10.1038/mt.2015.36 | Mendell Neurology 2017 https://doi.org/10.1212/WNL.0000000000004485,Follistatin is NOT myostatin-specific — it also neutralises activins (reproductive hormones) and GDF-11 (disputed aging factor). Long-term endocrine consequences unknown. FST-344 includes a heparin-binding domain that limits systemic distribution vs FST-315; this is a feature for local injection but limits whole-body effects. Becker MD patients had heterogeneous baseline function. IBM is notoriously hard to treat — modest benefit is still notable.,
